date,open,high,low,close,volume,average,barCount
2023-08-08,247.475,250.93,245.02,249.62,-1.0,-1.0,-1
2023-08-09,250.975,250.995,241.935,242.205,-1.0,-1.0,-1
2023-08-10,245.35,251.79,243.005,245.37,-1.0,-1.0,-1
2023-08-11,241.805,243.785,238.195,242.645,-1.0,-1.0,-1
2023-08-14,235.705,240.65,233.78,239.77,-1.0,-1.0,-1
2023-08-15,238.725,240.475,232.61,232.945,-1.0,-1.0,-1
2023-08-16,228.04,233.86,225.43,225.57,-1.0,-1.0,-1
2023-08-17,226.185,226.73,218.825,219.205,-1.0,-1.0,-1
2023-08-18,214.115,217.565,212.37,215.425,-1.0,-1.0,-1
2023-08-21,221.62,232.13,220.595,231.285,-1.0,-1.0,-1
