,lookback,holding,correlation,pvalue
0,1,1,-0.9998581163862915,0.0
1,1,5,-0.5420792531304013,1.353170454426534e-16
2,1,10,-0.46568118934504715,1.1911225073220073e-06
3,1,25,-0.20400126788910708,0.21287923902491898
4,1,60,-0.08564070251696684,0.7524924100433263
5,1,120,0.4840192349221231,0.22424376197347323
6,1,250,0.7213927378911463,0.48700458347687847
7,5,1,-0.5379026591883429,2.552610465443776e-16
8,5,5,-0.9996463974737203,2.672769082746e-312
9,5,10,-0.7412570905949454,1.7374397688933823e-18
10,5,25,0.0588211422393857,0.7220692668987979
11,5,60,-0.18772469278191745,0.48629329000252364
12,5,120,0.055440909510844225,0.896261108768044
13,5,250,0.954348840188483,0.19310219189639513
14,10,1,-0.45807783835349564,1.864631063076439e-06
15,10,5,-0.7353807962294222,4.4162692442084715e-18
16,10,10,-0.9994247060268856,2.2710744570145092e-144
17,10,25,-0.6026056708143521,4.9201401149150544e-05
18,10,60,-0.3092501420918933,0.2438136340544047
19,10,120,0.11145039008111292,0.792754503398768
20,10,250,-0.9839937014927863,0.11405690208700515
21,25,1,-0.21837542196437584,0.1816902950144389
22,25,5,0.04680084457548078,0.7772404553852194
23,25,10,-0.6091146689101101,3.870222027488601e-05
24,25,25,-0.9987878158370772,5.316280527710822e-50
25,25,60,-0.48331005976645663,0.057888070439045716
26,25,120,0.2977895613212179,0.47377586271997063
27,25,250,-0.9761436858166316,0.13933620688128912
28,60,1,-0.08745651335739445,0.7474022325847589
29,60,5,-0.19194454034859512,0.47636415710260427
30,60,10,-0.3011181227484412,0.2570785128325036
31,60,25,-0.4983074057987299,0.0494697232809958
32,60,60,-0.9991176427230968,1.1138905645408943e-20
33,60,120,-0.30665081789354065,0.4600576594545397
34,60,250,-0.35732452714969376,0.7673780365867477
35,120,1,0.5111250215287925,0.19547229079697756
36,120,5,0.08696843324135206,0.83775455507447
37,120,10,0.1305509056788739,0.7579841426444526
38,120,25,0.3270200417221322,0.4291501866245146
39,120,60,-0.3071503534656762,0.4592891595018015
40,120,120,-0.9993051090926658,8.384236641029641e-10
41,120,250,0.950229882618649,0.20169603395817381
42,250,1,0.7139969054043993,0.4937660874846482
43,250,5,0.9507795874673041,0.20056972897327507
44,250,10,-0.982815465291663,0.11819195256224023
45,250,25,-0.9779060545816507,0.13407093078025478
46,250,60,-0.3494018913756881,0.7727695945530537
47,250,120,0.9448131429435059,0.21248621037156815
48,250,250,-0.9999738947388669,0.004600023883007097
